Month,Total
Jan 2014,6.6
Feb 2014,6.7
Mar 2014,6.7
Apr 2014,6.2
May 2014,6.3
June 2014,6.1
July 2014,6.2
Aug 2014,6.1
Sept 2014,5.9
Oct 2014,5.7
Nov 2014,5.8
Dec 2014,5.6
Jan 2015,5.7
Feb 2015,5.5
Mar 2015,5.4
Apr 2015,5.4
May 2015,5.6
June 2015,5.3
July 2015,5.2
Aug 2015,5.1
Sept 2015,5
Oct 2015,5
Nov 2015,5.1
Dec 2015,5
Jan 2016,4.8
Feb 2016,4.9
Mar 2016,5
Apr 2016,5.1
May 2016,4.8
June 2016,4.9
July 2016,4.8
Aug 2016,4.9
Sept 2016,5
Oct 2016,4.9
Nov 2016,4.7
Dec 2016,4.7
Jan 2017,4.7
Feb 2017,4.6
Mar 2017,4.4
Apr 2017,4.4
May 2017,4.4
June 2017,4.3
July 2017,4.3
Aug 2017,4.4
Sept 2017,4.3
Oct 2017,4.2
Nov 2017,4.2
Dec 2017,4.1
Jan 2018,4
Feb 2018,4.1
Mar 2018,4
Apr 2018,4
May 2018,3.8
June 2018,4
July 2018,3.8
Aug 2018,3.8
Sept 2018,3.7
Oct 2018,3.8
Nov 2018,3.8
Dec 2018,3.9
Jan 2019,4
Feb 2019,3.8
Mar 2019,3.8
Apr 2019,3.7
May 2019,3.6
June 2019,3.6
July 2019,3.7
Aug 2019,3.6
Sept 2019,3.5
Oct 2019,3.6
Nov 2019,3.6
Dec 2019,3.6
Jan 2020,3.6
Feb 2020,3.5
Mar 2020,4.4
Apr 2020,14.8
May 2020,13.2
June 2020,11
July 2020,10.2
Aug 2020,8.4
Sept 2020,7.8
Oct 2020,6.9
Nov 2020,6.7
Dec 2020,6.7
Jan 2021,6.4
Feb 2021,6.2
Mar 2021,6.1
Apr 2021,6.1
May 2021,5.8
June 2021,5.9
July 2021,5.4
Aug 2021,5.1
Sept 2021,4.7
Oct 2021,4.5
Nov 2021,4.2
Dec 2021,3.9
Jan 2022,4
Feb 2022,3.8
Mar 2022,3.7
Apr 2022,3.7
May 2022,3.6
June 2022,3.6
July 2022,3.5
Aug 2022,3.6
Sept 2022,3.5
Oct 2022,3.6
Nov 2022,3.6
Dec 2022,3.5
Jan 2023,3.5
Feb 2023,3.6
Mar 2023,3.5
Apr 2023,3.4
May 2023,3.6
June 2023,3.6
July 2023,3.5
Aug 2023,3.7
Sept 2023,3.8
Oct 2023,3.9
Nov 2023,3.7
Dec 2023,3.8
Jan 2024,3.7
Feb 2024,3.9
Mar 2024,3.9
Apr 2024,3.9
May 2024,4
June 2024,4.1
July 2024,4.2
Aug 2024,4.2
Sept 2024,4.1
Oct 2024,4.1
Nov 2024,4.2
Dec 2024,4.1